matricula,nome,idade,dataNascimento,telefone,CPF
123,Paulo Roberto Marinho,27,23/06/1994,(99)3232-3232,404.648.450-09
5,Marco Jorge,19,05/04/2003,(86)3131-3131,673.499.763-48
6429,Maria Cristina Turing,25,17/01/1997,(86)3709-3659,025.278.213-59
27,João José Jorge,20,07/10/2001,(86)3200-3435,807.253.823-33
36,Miguel Oliveira,23,01/01/1999,(86)99992-8997,680.737.513-13
2,Carolina Ana Bittencourt,24,02/02/1998,(81)98528-5911,736.586.244-00
4,Sônia Rosa Brito,29,18/04/1993,(33)2982-8127,484.367.266-18
3,Nicolas Antonio Luiz Ribeiro,32,07/09/1989,(97)99826-8117,679.097.032-01
0,Ana Andreia Fogaça,28,02/06/1993,(88)99471-8010,122.938.703-08
1980,Paulo Ferreira Santos,25,19/03/1997,(33)99878-2558,529.246.576-36
7619,Fulano de Tal,22,01/01/2000,(86)95555-4444,084.263.160-77
285,Maria,22,01/01/2000,(86)54545-6566,178.227.850-87
